Existing account,Duration month,Credit history,Purpose,Credit amount,Saving,Employment duration,Installment rate,Personal status,Debtors,Residential Duration,Property,Age,Installment plans,Housing,Number of credits,Job,Liable People,Telephone,Foreign worker,Classification
3,0.74653634,2,4,0.525065156,4,2,1,1,0,1,2,0.196527382,2,1,0,2,0,0,0,1
3,0.74653634,2,1,0.809670955,0,2,0,1,0,0.442507049,1,0.328280585,0,1,0,2,0,0,0,1
3,0.175307667,4,4,0.248826313,4,4,1,2,0,0.442507049,1,0.64001097,2,0,0.442507049,1,0,1,0,1
0,0.219239815,4,2,0.357313682,0,4,0.756470797,2,0,1,3,0.715738338,0,2,0.442507049,3,1,1,0,1
1,0.802590423,4,9,0.737086964,0,3,0.442507049,1,0,0,0,0.555757867,0,1,0.442507049,1,0,0,0,1
0,0.74653634,2,7,0.480536172,4,4,1,2,0,1,3,0.537707281,2,1,0,3,0,1,0,2
0,0.356398274,4,1,0.420298612,0,4,1,2,0,1,3,0.90558755,2,2,0.442507049,3,0,0,0,1
0,0.802590423,2,4,0.642470541,0,1,1,2,0,0.756470797,2,0.419187521,2,1,0,2,0,0,0,2
1,0.326542972,3,4,0.685535488,0,3,0.442507049,2,0,1,1,0.715738338,2,1,0,2,0,0,0,1
3,0.894396127,0,1,0.844257769,4,2,0.442507049,2,0,0.442507049,1,0.519210956,2,1,0,1,1,0,0,1
1,0.680542574,2,3,0.63453056,0,1,0.442507049,3,0,0,1,0.10469051,2,1,0,2,0,0,0,1
3,0.600307717,2,4,0.736656589,4,1,0,1,0,0,2,0.607437879,2,1,0.442507049,2,0,1,0,2
3,0.433846128,2,4,0.366903882,2,4,1,2,0,0.756470797,1,0.655781302,1,1,0,2,0,1,0,1
3,0.497944926,2,9,0.426614575,1,2,0.756470797,1,0,1,1,0.167148594,2,0,0,1,0,0,0,1
0,0.600307717,2,2,0.452824943,0,4,1,1,2,1,0,0.810340304,2,1,0,1,0,1,0,1
0,0.294088411,2,4,0.517257524,0,4,0.756470797,2,0,1,0,0.730006638,2,1,0,1,0,0,0,1
3,0.356398274,4,9,0.402237688,0,2,1,1,2,0.442507049,0,0.303718939,2,1,0.442507049,3,0,1,0,1
1,0.497944926,4,3,0.38211844,0,1,1,1,0,0,1,0.252038927,2,1,0.442507049,2,0,0,0,1
1,0.74653634,2,7,0.91178318,1,2,0,2,0,1,3,0.655781302,2,2,0,2,1,1,0,2
0,0.497944926,2,0,0.510527713,1,3,1,2,0,0.756470797,2,0.328280585,2,1,0,3,1,1,0,1
0,0.356398274,0,6,0.345846676,0,3,1,2,0,0.756470797,0,0.278324539,2,1,0.442507049,2,0,0,0,2
3,0.356398274,4,4,0.210114076,0,4,1,2,0,1,0,0.784507983,2,1,0,2,0,0,0,1
0,0.356398274,4,1,0.40174295,0,4,1,2,0,0.756470797,0,0.757752886,2,1,0,2,0,0,0,1
3,0.356398274,4,4,0.269239468,4,4,1,1,0,0.756470797,1,0.397474028,0,1,0,1,1,0,0,2
2,0.600307717,4,3,0.62109335,4,4,1,2,1,1,3,0.03654691,2,0,0.442507049,2,0,0,0,1
1,0.356398274,2,0,0.386213233,3,4,1,2,0,1,0,0.757752886,2,1,0,2,0,1,0,1
1,0.894396127,0,9,0.966364045,0,1,0.756470797,2,0,1,3,0.810340304,2,0,0,2,0,1,0,2
3,0.356398274,4,7,0.484619009,4,3,1,1,0,0.442507049,2,0.847491541,2,1,0,2,0,0,0,1
1,0.497944926,2,9,0.546232578,1,2,1,2,0,1,2,0.419187521,2,1,0,2,0,0,0,1
1,0.74653634,4,4,0.519458241,0,4,1,2,0,1,0,0.460812845,2,1,0,2,0,0,0,1
1,0.535275271,3,1,0.776642387,4,3,0.756470797,2,0,1,1,0.460812845,0,0,0.442507049,3,1,1,0,1
3,0.600307717,2,0,0.411443274,1,4,1,3,0,1,0,0.555757867,2,0,0,1,0,0,0,1
1,0.74653634,2,4,0.518060194,0,3,1,2,0,1,2,0.167148594,2,0,0,2,0,0,0,1
3,0.125501505,3,4,0.305621268,0,2,0.756470797,1,0,0.442507049,0,0.167148594,2,1,0,2,0,0,0,1
1,0.258538461,4,3,0.473608571,0,3,1,2,0,0.756470797,2,0.440289285,2,0,0,2,0,1,0,1
3,0.356398274,2,1,0.529969894,4,1,0.442507049,3,0,1,2,0.224797268,2,0,0,2,0,1,0,1
1,0.600307717,4,2,0.898999768,0,2,0.442507049,2,1,0.756470797,2,0.519210956,2,1,0.442507049,3,1,1,0,2
3,0.497944926,1,0,0.7559983,0,4,0.442507049,2,0,1,3,0.519210956,0,1,0.442507049,3,1,1,0,2
1,0.356398274,2,0,0.741884207,0,3,0.442507049,2,0,0.442507049,2,0.375112275,2,1,0,2,0,0,0,1
0,0.600307717,2,3,0.797571495,4,1,0,1,0,0.442507049,1,0.328280585,2,1,0,2,0,1,1,1
1,0.409773766,2,9,0.40190798,2,4,0,3,0,0.442507049,0,0.440289285,2,1,0,2,0,1,0,1
1,0.125501505,3,9,0.408254538,1,4,0,0,0,0.442507049,2,0.352062362,0,1,0.442507049,2,1,0,0,1
2,0.433846128,2,7,0.104365817,0,1,1,1,0,1,1,0.136570345,2,0,0,2,0,1,0,1
1,0.497944926,2,0,0.748750975,0,3,0.756470797,2,0,0.756470797,0,0.278324539,2,0,0,1,0,0,0,1
3,0.74653634,4,0,0.801576181,0,2,1,1,0,0.442507049,0,0.196527382,1,1,0.442507049,2,0,1,0,2
0,0.356398274,2,4,0.442664437,2,4,0.756470797,3,0,0,0,0.440289285,2,1,0,2,0,0,0,1
3,0.851310727,4,4,0.618570555,4,4,1,2,0,0,0,0.655781302,2,1,0,2,0,1,0,1
0,0.802590423,2,4,0.780469434,4,3,1,1,0,0.756470797,2,0.328280585,2,1,0,3,0,1,0,2
0,0.294088411,4,3,0.498097395,4,1,0.442507049,1,1,0.756470797,0,0.252038927,2,0,0.442507049,2,0,0,1,1
0,0.714997098,4,3,0.660315506,2,2,0,1,0,1,2,0.136570345,2,1,0.442507049,2,0,0,0,2
1,0.356398274,4,0,0.522327756,2,3,0.756470797,0,0,0.756470797,2,0.460812845,2,1,0,3,0,1,0,1
0,0.552626872,2,4,0.463195214,0,2,0.756470797,1,0,0.442507049,0,0.196527382,2,1,0.442507049,2,0,1,0,2
3,0.600307717,4,1,0.6367066,0,4,1,1,0,0.442507049,2,0.555757867,2,0,0.442507049,3,0,1,0,1
3,0.356398274,2,3,0.454541866,0,2,0.756470797,2,0,0.442507049,0,0.167148594,2,0,0,1,0,0,0,1
2,0.294088411,4,0,0.264524895,0,4,1,2,0,1,3,0.871273319,2,2,0.442507049,2,0,1,0,1
1,0.497944926,2,3,0.474213966,4,1,1,1,0,0.756470797,0,0.252038927,2,0,0,2,0,0,0,2
0,0.356398274,4,0,0.49689386,0,2,1,2,0,0.442507049,1,0.328280585,2,1,0.442507049,2,0,0,0,1
0,0.356398274,2,4,0.239403604,0,2,1,3,0,0.442507049,0,0.537707281,2,1,0,1,0,0,0,1
1,0.356398274,2,6,0.217880095,0,2,1,2,0,0.442507049,2,0.328280585,2,1,0,2,0,0,0,2
1,0.356398274,4,1,0.46634341,0,0,1,2,0,0.442507049,2,0.419187521,2,1,0.442507049,3,0,1,0,1
0,0.356398274,4,0,0.61337493,0,2,0.756470797,1,1,0.442507049,0,0.303718939,2,1,0.442507049,2,0,0,0,2
1,0.851310727,2,0,0.819587269,4,3,0,1,0,0.442507049,2,0.167148594,2,1,0,2,0,0,0,1
0,0.74653634,3,7,0.770967132,0,2,1,2,0,0.756470797,1,0.303718939,1,1,0,2,0,1,0,2
3,0.433846128,2,3,0.55374207,0,1,0.442507049,2,0,0.756470797,1,0.252038927,0,1,0.442507049,1,0,0,0,1
3,0.497944926,2,3,0.481358488,0,2,1,2,0,1,3,0.655781302,0,2,0.442507049,2,0,0,0,1
3,0.933015988,2,4,0.861097307,1,3,0.442507049,1,0,1,0,0.071393336,2,1,0,2,0,1,0,1
3,0.356398274,4,4,0.37202417,4,4,1,1,0,0.442507049,0,0.500246321,2,1,0.442507049,2,0,1,0,1
3,0.642578427,3,1,0.823017285,3,2,0.442507049,2,0,0.442507049,2,0.252038927,2,1,0.442507049,2,0,0,0,1
1,0.356398274,2,4,0.260016541,2,2,1,2,0,0.756470797,0,0.90558755,2,1,0,1,0,0,0,2
1,0.433846128,4,4,0.555454282,4,3,1,2,2,0.442507049,0,0.440289285,0,1,0.756470797,2,0,1,0,1
2,0.356398274,2,4,0.468955383,0,2,0.442507049,1,0,0.442507049,2,0.607437879,2,0,0,1,0,1,0,1
2,0.125501505,2,0,0.242041299,3,1,0.442507049,3,0,0.442507049,0,0.252038927,2,1,0,0,0,0,1,1
1,0.74653634,2,4,0.686703253,0,1,1,1,0,0,3,0.328280585,2,1,0,3,0,1,0,1
0,0.642578427,2,4,0.607788352,0,2,0.756470797,2,0,0.442507049,2,0.252038927,2,1,0,3,0,0,0,1
0,0.497944926,2,3,0.531582107,0,2,0.442507049,2,0,0.442507049,2,0.10469051,2,1,0,2,0,0,0,2
3,0.552626872,4,3,0.514527895,0,1,1,1,0,1,1,0.136570345,2,1,0,2,0,1,0,1
1,0.851310727,1,9,0.617788777,1,3,1,2,0,0.442507049,2,0.328280585,2,1,0,2,0,0,0,1
0,0.125501505,4,0,0.286927019,0,4,0,1,0,1,3,0.519210956,2,1,0.442507049,2,0,1,0,1
3,0.356398274,4,0,0.233016622,1,3,1,1,0,0.756470797,2,0.715738338,2,1,0.442507049,2,0,1,0,1
0,0.74653634,4,3,0.713104035,0,2,0.756470797,2,2,0.442507049,1,0.278324539,2,1,0.442507049,2,0,0,0,1
3,0.497944926,4,4,0.428682379,3,4,1,2,0,1,2,0.64001097,2,1,0.442507049,2,0,0,0,1
3,0.125501505,2,4,0.391102892,1,4,0.442507049,2,0,1,3,0.573383693,0,2,0,2,1,1,0,1
3,0.294088411,2,4,0.474213966,0,2,0,2,0,1,1,0.500246321,2,1,0,2,0,1,1,1
2,0.74653634,2,4,0.732906226,0,2,1,2,0,0,2,0.167148594,2,1,0,2,0,0,0,1
1,0.600307717,4,1,0.798684169,3,4,0.442507049,1,0,1,3,0.303718939,2,0,0,2,0,0,0,1
1,0.600307717,3,9,0.773655084,1,3,1,2,0,1,2,0.460812845,2,0,0,3,0,1,0,1
0,0.356398274,2,3,0.379771725,0,2,0.442507049,1,0,1,2,0.03654691,2,0,0,2,0,0,0,2
0,0.258538461,4,6,0.380857765,1,4,0.756470797,2,2,1,0,0.671226448,2,1,0.442507049,2,1,0,1,1
0,0.356398274,1,8,0.070645232,0,4,1,3,0,0,2,0.623901466,0,1,0,1,0,0,0,1
1,0.600307717,2,0,0.614237917,1,3,0.442507049,2,0,0.756470797,2,0.500246321,0,1,0.442507049,2,0,1,0,1
3,0.125501505,4,4,0.471048579,4,2,0,2,0,0.442507049,0,0.419187521,2,1,0.442507049,1,1,0,0,1
3,0.600307717,4,4,0.567423884,1,4,0.756470797,2,0,1,0,0.460812845,2,1,0,2,1,1,0,1
3,0.497944926,4,0,0.334447607,0,1,1,1,0,0,1,0.328280585,2,1,0.442507049,2,0,0,0,1
3,0.433846128,2,5,0.376114555,2,3,1,2,0,0.756470797,1,0.460812845,2,1,0.442507049,2,0,1,0,1
1,0.294088411,2,0,0.784776617,0,0,0.442507049,2,0,1,3,0.949023664,0,2,0,3,0,1,0,1
3,0.74653634,2,0,0.299811087,2,4,1,2,0,1,1,0.460812845,2,1,0,2,0,0,0,1
3,0.125501505,2,3,0.575857497,2,2,0,2,0,0.442507049,2,0.375112275,2,1,0,2,0,1,0,1
0,0.497944926,2,3,0.350624893,0,0,1,1,0,0.442507049,2,0.397474028,2,1,0,2,0,0,0,2
1,0.326542972,2,3,0.427945985,3,1,1,1,0,0,0,0.03654691,2,1,0,2,0,0,0,1
3,0.600307717,2,3,0.642881026,0,3,0.442507049,1,0,1,1,0.196527382,2,0,0,2,0,1,0,1
1,0.600307717,4,9,0.475540317,0,4,1,0,0,1,0,0.352062362,2,1,0.442507049,2,0,1,0,2
0,0.433846128,0,0,0.310069316,0,4,1,2,0,0.756470797,2,0.397474028,2,0,0.442507049,2,1,0,0,2
3,0.356398274,2,3,0.259104296,0,2,1,1,0,0,0,0.224797268,2,1,0,2,0,1,0,1
1,0.600307717,3,3,0.490555698,0,0,0.756470797,1,0,0.442507049,1,0.419187521,2,1,0,3,0,1,0,2
1,0.219239815,2,4,0.40256693,0,2,1,2,2,0.442507049,0,0.397474028,2,1,0,2,0,0,1,1
0,0.552626872,3,7,0.607652068,0,1,0.442507049,2,0,0,1,0.224797268,2,1,0.442507049,2,0,0,0,2
3,0.680542574,1,1,0.790346469,4,0,1,1,0,0,0,0.744008224,0,1,0,3,0,1,0,2
0,0.356398274,2,3,0.542204469,0,2,0.442507049,0,0,0,2,0.573383693,2,1,0,2,0,0,0,1
0,0.125501505,4,4,0.069959594,2,4,1,2,0,1,2,0.730006638,2,1,0.442507049,2,0,0,0,1
3,0.356398274,2,4,0.478882772,0,3,1,2,0,0.442507049,2,0.352062362,2,0,0.442507049,3,1,1,0,1
0,0.552626872,4,0,0.191732771,0,4,1,2,0,1,0,0.894323232,2,1,0.442507049,2,0,0,0,1
3,0.74653634,3,9,0.847588417,0,1,0,0,0,0,2,0.278324539,2,1,0.442507049,2,0,0,0,2
1,0.74653634,3,9,0.669587203,0,2,0.442507049,0,0,0.442507049,0,0.328280585,1,1,0.442507049,3,0,1,0,2
0,0.552626872,1,0,0.43804936,4,2,1,2,0,0.442507049,1,0.537707281,2,1,0.442507049,1,1,0,0,2
3,0.600307717,4,3,0.631166272,3,2,1,2,0,1,0,0.701192967,2,1,0,2,0,1,0,1
1,0.497944926,4,0,0.29332671,0,4,1,2,0,1,2,0.460812845,0,1,0,2,1,1,0,2
3,0.433846128,4,4,0.393509735,0,2,1,2,0,0.442507049,1,0.352062362,2,1,0.442507049,2,0,0,0,1
1,0.258538461,1,1,0.702374402,0,4,0.442507049,1,0,1,3,0.99007849,0,2,0,3,1,1,0,2
1,0.456458637,4,0,0.359501237,0,0,0.442507049,2,0,0.756470797,2,0.927620406,2,2,0.756470797,0,0,1,0,1
0,0.356398274,2,4,0.230274039,1,3,1,3,0,0,1,0.03654691,2,1,0,2,0,0,0,2
1,0.497944926,0,3,0.595766124,0,2,0,1,0,1,2,0.397474028,0,1,0.442507049,2,0,1,0,1
3,0.600307717,2,9,0.67658536,3,2,0.442507049,2,0,0.756470797,1,0.757752886,2,1,0.756470797,3,0,1,0,2
1,0.851310727,0,9,0.635258169,1,3,1,2,0,1,3,0.419187521,2,2,0,1,1,0,0,2
1,0.642578427,2,9,0.639517265,0,2,1,2,0,0.442507049,2,0.460812845,2,1,0,2,1,1,0,2
3,0.125501505,2,4,0.495463431,0,3,0.442507049,3,0,0.442507049,0,0.303718939,2,0,0,2,0,0,0,1
1,0.827745492,2,4,0.57996242,1,2,1,2,2,1,1,0.071393336,2,0,0,2,0,0,0,2
1,0.258538461,4,7,0.4164561,0,4,0.442507049,1,0,0.756470797,2,0.419187521,2,1,0.442507049,3,0,1,0,2
3,0.125501505,4,4,0.397242344,0,2,0,1,0,0,2,0.278324539,2,1,0.442507049,2,0,1,0,1
1,0.356398274,2,3,0.310313955,1,1,1,1,0,1,2,0.252038927,0,0,1,2,0,0,0,2
1,0.600307717,2,1,0.55816789,4,4,1,2,0,1,3,0.460812845,0,2,0,2,0,1,0,1
1,0.497944926,3,3,0.661183662,0,4,1,0,0,0.756470797,3,0.537707281,2,1,0,3,0,1,0,2
3,0.258538461,4,7,0.306617095,2,4,1,2,0,0.442507049,2,0.730006638,2,1,0.442507049,2,0,1,0,1
0,0.356398274,2,0,0.358111537,0,2,1,3,0,0.756470797,0,0.252038927,2,1,0,1,0,0,0,1
3,0.642578427,3,9,0.701829263,0,3,0.756470797,2,0,1,2,0.224797268,2,1,0.442507049,2,0,0,0,1
0,0.356398274,2,8,0.298013595,0,3,1,3,0,1,1,0.071393336,2,0,0,2,0,0,0,2
3,0.356398274,4,0,0.415524381,0,4,1,2,0,0,0,0.500246321,2,1,0.442507049,1,1,0,0,1
0,0.680542574,4,1,0.871836251,0,4,0.756470797,2,0,1,3,0.500246321,2,2,0.756470797,3,1,1,0,1
3,0.356398274,4,3,0.475540317,0,4,1,2,0,1,0,0.590604292,2,1,0.756470797,2,0,1,0,1
1,0.356398274,4,5,0.404206191,0,3,1,2,0,0.756470797,1,0.224797268,2,1,0,2,0,0,0,1
0,0.600307717,2,9,0.759929181,0,2,0.442507049,3,0,0.442507049,2,0.071393336,1,1,0,1,0,0,0,1
3,0.356398274,2,1,0.402402367,3,3,0.756470797,2,0,0.442507049,1,0.771249883,2,1,0,2,0,0,1,1
3,0.258538461,4,4,0.583240446,4,2,0,2,0,0.442507049,0,0.397474028,2,1,0.442507049,2,1,0,0,1
3,0.74653634,2,4,0.634712676,4,4,0.442507049,1,0,1,0,0.623901466,2,1,0,1,0,1,0,1
0,0.642578427,0,9,0.70969944,0,0,0.442507049,2,0,1,1,0.701192967,1,1,0.442507049,2,0,1,0,2
2,0.680542574,3,9,0.472271135,0,4,1,2,0,1,0,0.90558755,2,1,0,3,0,1,0,2
3,0.74653634,4,4,0.602691911,4,4,1,2,0,0.442507049,2,0.715738338,2,1,0,2,0,1,0,1
1,0.125501505,4,8,0.305621268,4,3,0,1,0,0.756470797,1,0.519210956,2,1,0.442507049,1,0,0,0,1
0,0.497944926,0,9,0.585500406,0,3,0.756470797,2,0,0,1,0.352062362,0,1,0,2,0,1,0,1
2,0.74653634,2,4,0.639398351,0,2,0.442507049,2,0,0.442507049,0,0.136570345,2,1,0,2,0,1,0,1
0,0.600307717,2,3,0.579193427,0,2,0.442507049,0,0,0.442507049,0,0.167148594,2,0,0,1,0,0,0,1
3,0.294088411,2,0,0.394192858,0,2,0.442507049,1,0,1,2,0.882886932,2,1,0,2,0,1,0,1
1,0.356398274,2,4,0.212731643,0,1,1,3,2,0,0,0.224797268,0,1,0,1,0,0,0,1
0,0.356398274,2,7,0.364397802,4,2,1,1,0,1,1,0.136570345,0,0,0,2,0,1,0,1
3,0.356398274,2,4,0.241384672,0,2,1,2,0,0.442507049,0,0.328280585,0,1,0.442507049,2,0,0,0,1
3,0.600307717,3,9,0.575857497,4,2,1,2,0,1,0,0.375112275,2,1,0.442507049,2,1,1,0,1
3,0.433846128,2,1,0.679907166,0,2,0.756470797,2,0,0.442507049,2,0.328280585,2,1,0,2,0,1,0,1
3,0.74653634,0,6,0.545432513,0,2,1,2,0,0.442507049,2,0.252038927,2,1,0.442507049,2,0,0,0,1
1,0.851310727,2,4,0.879126539,3,3,0,2,1,0.442507049,3,0.252038927,0,1,0.442507049,2,0,1,0,2
0,0.356398274,2,3,0.801872293,0,4,1,2,0,1,3,0.744008224,2,2,0,3,0,1,0,2
3,0.258538461,2,4,0.412864077,0,3,1,2,0,0.442507049,2,0.10469051,2,1,0,2,0,0,0,2
0,0.600307717,2,3,0.588849731,0,1,1,2,0,0,3,0.10469051,0,2,0,2,0,0,0,1
2,0.74653634,2,4,0.656423514,0,2,1,2,0,0.442507049,2,0.224797268,2,1,0,2,0,0,0,2
3,0.258538461,2,0,0.535796599,2,4,0.442507049,2,0,1,3,0.715738338,2,2,0,1,0,0,0,1
3,0.356398274,2,4,0.499077498,1,3,0.756470797,2,0,0,3,0.440289285,2,1,0,2,0,0,0,1
